Time,Ar_press,Ar_mass_flow,He_mass_flow,He_press,He_vol_flow,Ar_vol_flow,Ar_STP_press,He_STP_press
2021-08-26T19:44:37.735,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:45:07.960,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:45:38.175,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:46:08.391,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:46:38.585,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:47:08.775,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:47:38.983,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:48:09.196,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:48:39.388,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:49:09.619,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:49:39.852,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:50:10.079,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:50:40.294,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:51:10.496,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:51:40.705,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:52:10.918,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:52:41.132,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:53:11.331,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:53:41.535,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:54:11.782,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:54:41.997,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:55:12.214,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:55:42.419,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:56:12.681,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:56:42.920,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:57:13.129,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:57:43.324,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:58:13.528,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:58:43.749,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:59:13.976,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:59:44.215,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:00:14.406,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:00:44.654,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:01:14.867,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:01:45.075,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:02:15.262,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:02:45.460,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:03:15.657,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:03:45.875,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:04:16.088,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:04:46.298,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:05:16.495,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:05:46.711,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:06:16.932,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:06:47.134,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:07:17.373,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:07:47.576,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:08:17.808,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:08:48.045,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:09:18.260,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:09:48.450,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:10:18.624,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:10:48.840,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:11:19.034,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:11:49.255,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:12:19.465,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:12:49.716,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:13:19.922,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:13:50.134,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:14:20.355,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:14:50.540,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:15:20.765,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:15:50.971,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:16:21.228,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:16:51.433,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:17:21.631,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:17:51.871,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:18:22.075,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:18:52.303,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:19:22.558,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:19:52.758,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:20:23.007,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:20:53.200,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:21:23.399,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:21:53.615,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:22:23.811,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:22:54.041,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:23:24.217,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:23:54.453,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:24:24.649,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:24:54.872,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:25:25.063,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:25:55.271,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:26:25.495,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:26:55.670,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:27:25.858,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:27:56.092,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:28:26.310,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:28:56.521,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:29:26.716,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:29:56.914,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:30:27.119,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:30:57.310,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:31:27.542,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:31:57.734,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:32:27.968,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:32:58.184,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:33:28.384,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:33:58.588,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:34:28.782,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:34:58.990,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:35:29.200,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:35:59.422,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:36:29.622,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:36:59.824,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:37:30.059,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:38:00.286,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:38:30.479,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:39:00.695,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:39:30.904,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:40:01.104,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:40:31.339,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:41:01.530,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:41:31.761,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:42:01.965,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:42:32.170,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:43:02.387,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:43:32.578,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:44:02.802,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:44:33.059,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:45:03.262,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:45:33.466,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:46:03.678,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:46:33.872,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:47:04.074,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:47:34.283,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:48:04.492,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:48:34.719,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:49:04.946,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:49:35.150,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:50:05.373,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:50:35.592,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:51:05.797,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:51:36.008,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:52:06.188,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:52:36.396,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:53:06.614,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:53:36.830,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:54:07.040,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:54:37.250,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:55:07.462,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:55:37.670,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:56:07.869,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:56:38.062,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:57:08.263,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:57:38.478,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:58:08.667,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:58:38.844,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:59:09.076,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T20:59:39.305,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:00:09.501,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:00:39.714,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:01:09.937,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:01:40.159,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:02:10.362,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:02:40.556,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:03:10.784,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:03:40.970,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:04:11.221,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:04:41.456,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T21:05:11.671,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
